Propertyname,Address,PropertyType,Price,PSF,Floorsize,Floorlevel,Furnishing,Bedrooms,Bathrooms
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Rumah Pangsa Awam Jalan Hang Tuah Blk B,"Jalan Hang Tuah, Pudu, Kuala Lumpur",Apartment For Sale,"108,000",RM 286.47 psf,377 sqft,Middle Floor,Unfurnished,1,1
Allevia Mont'Kiara,"Jln Kiara 4, Mont Kiara, Kuala Lumpur",Condominium For Sale,"1,543,800",RM 906.52 psf,1703 sqft,Middle Floor,Partially Furnished,3,3
[Ready Soon] Next Forest Reserve I Freehold I Low Density I Near MRT,"Taman Tun Dr Ismail, Kuala Lumpur",Condominium For Sale,"879,000",RM 582.12 psf,1510 sqft,n/a,Partially Furnished,3,3
Sky Suites @ KLCC,"18 Jalan P. Ramlee, KLCC, KL City, Kuala Lumpur",Apartment For Sale,"1,050,000","RM 1,183.77 psf",887 sqft,n/a,Fully Furnished,3,2
Pavilion Damansara Heights,"Jalan Damanlela, Damansara Heights, Kuala Lumpur",Condominium For Sale,"2,147,148","RM 2,173.23 psf",988 sqft,Low Floor,Partially Furnished,2,2
Pavilion Damansara Heights,"Jalan Damanlela, Damansara Heights, Kuala Lumpur",Condominium For Sale,"1,044,090","RM 1,700.47 psf",614 sqft,Middle Floor,Partially Furnished,1,1
TRX Residence,"Jalan Tun Razak, KLCC, KL City, Kuala Lumpur",Condominium For Sale,"2,493,000","RM 1,980.14 psf",1259 sqft,n/a,Partially Furnished,3,3
TRX Residence,"Jalan Tun Razak, KLCC, KL City, Kuala Lumpur",Condominium For Sale,"1,787,000","RM 2,102.35 psf",850 sqft,n/a,Partially Furnished,2,2
TRX Residence,"Jalan Tun Razak, KLCC, KL City, Kuala Lumpur",Condominium For Sale,"982,000","RM 2,071.73 psf",474 sqft,n/a,Partially Furnished,1,1
【5 Mins TO IMU BUKIT JALIL】Freehold Residential Condo Near Sri Petaling Pavilion OUG Kinrara Sunway,"Sri Petaling, Technology Park Malaysia, Bukit Jalil, Kuala Lumpur",Condominium For Sale,"558,000",RM 558.00 psf,1000 sqft,n/a,n/a,3,2
【RM199K Students Hostel】Xiamen University Cyberjaya - Cash Back RM20k! Ready Tenants,"Mid Valley City, Kuala Lumpur",Condominium For Sale,"189,000",RM 324.74 psf,582 sqft,n/a,Fully Furnished,2,2
Mercu Summer Suites @ Kuala Lumpur,"Mercu Summer Suites Jalan Cendana, Jalan Sultan Ismail, KL City, Kuala Lumpur",Apartment For Sale,"395,000",RM 801.22 psf,493 sqft,Low Floor,Fully Furnished,Studio,1
J. Satine,"PT5701 (Lot 27211), Jalan Kilang Tiga, Setapak, Kuala Lumpur",Apartment For Sale,"300,000",RM 375.00 psf,800 sqft,n/a,Unfurnished,3,2
KL Freehold LRT Low Dense Free Furnished,"Wangsa Maju, Kuala Lumpur",Condominium For Sale,"400,000",RM 455.58 psf,878 sqft,n/a,Partially Furnished,3,2
Inspirasi,"Jalan Kiara 3, Mont Kiara, Kuala Lumpur",Condominium For Sale,"770,000",RM 759.37 psf,1014 sqft,n/a,Partially Furnished,3,2
Fortune Avenue,"- Jalan Metro Perdana 5, Kepong, Kuala Lumpur",Condominium For Sale,"418,000",RM 388.48 psf,1076 sqft,Middle Floor,Partially Furnished,3,2
SETAPAK SETAPAK SETAPAK SETAPAK,"Setapak, Kuala Lumpur",Condominium For Sale,"300,000",RM 300.00 psf,1000 sqft,n/a,Fully Furnished,3,2
Pavilion Damansara Heights,"Jalan Damanlela, Damansara Heights, Kuala Lumpur",Condominium For Sale,"3,760,000","RM 1,632.65 psf",2303 sqft,Low Floor,Partially Furnished,5,3
Pavilion Damansara Heights,"Jalan Damanlela, Damansara Heights, Kuala Lumpur",Condominium For Sale,"4,450,000","RM 1,587.58 psf",2803 sqft,Low Floor,Partially Furnished,4,6
Pavilion Damansara Heights,"Jalan Damanlela, Damansara Heights, Kuala Lumpur",Condominium For Sale,"3,290,000","RM 1,797.81 psf",1830 sqft,High Floor,Partially Furnished,4,4
[Best Choice for FIRST HOME BUYER] [Full Loan] 10 min to KLCC || Near to TARUC || Next to MRT,"Setapak, Kuala Lumpur",Condominium For Sale,"300,000",RM 272.73 psf,1100 sqft,n/a,n/a,3,2
